,freqs,mag,maguncer,examp,phase,phaseuncer
0,10.0,1.0195540753444348,0.0002040027286490595,2.739,-0.09468400231830398,0.0005401266149638084
1,12.5,1.0190933088009795,0.0002039182309476911,2.7439999999999998,-0.1188206336595039,0.001185105073042142
2,16.0,1.018381880962696,0.00020714997070729453,5.546,-0.15232995149492035,0.003503586508889664
3,20.0,1.0164436738328464,0.00020399293136257385,5.57,-0.18937639881849977,0.0022351244321567863
4,25.0,1.0152187000036836,0.00020339313478292363,11.265,-0.23667989246370968,0.002223007749857048
5,31.5,1.0133190751070578,0.00020293071818174935,11.408,-0.2995808612080255,0.004382890397045449
6,40.0,1.0089477185653264,0.0002018200107063575,23.261,-0.37909930003727155,0.005902328727953671
7,46.69999999999999,1.0051420593259028,0.0002010701198672075,58.641000000000005,-0.4441740802782128,0.005715557895745057
8,50.0,1.0029447602656127,0.00020103975473722725,58.916000000000004,-0.47497643906163,0.005320776322765957
9,53.3,1.0007400168131877,0.00020585818545910424,59.286,-0.5058660234416781,0.008392378417466392
10,63.0,0.9944590431376517,0.0007947550767753396,115.88600000000001,-0.5970728691743403,0.005607832192344446
11,80.0,0.9771322202867175,0.0003714717619820851,119.647,-0.7596302308419984,0.004186502725475616
12,100.0,0.9539330816510356,0.0003277662188591562,123.387,-0.9491577800783659,0.0025161321066990714
13,125.0,0.9161927121234198,0.000227674996602392,125.565,-1.186932658961723,0.0013617468608839545
14,160.0,0.8540196910475236,0.00018528089309596994,127.20200000000001,-1.5187609412201573,0.0008432822431638928
15,200.0,0.7675176928707134,0.0001982146652819523,127.04700000000001,-1.8990065403641916,0.0008860429772830429
16,250.0,0.6440538801090113,0.00015911312694762129,126.635,-2.3733253956800633,0.0011642097640205123
17,10.0,1.01884136271871,0.00020391832544145187,2.7460000000000004,-0.09458520749010013,0.0010102430185889445
18,12.5,1.0181552786644035,0.00020440929516583726,2.753,-0.11875978751845095,0.002214994034620895
19,16.0,1.017669869082379,0.00020381793713100115,5.5729999999999995,-0.1516287228880273,0.0018350653420601628
20,20.0,1.0167716777515026,0.0002034500649478724,5.586,-0.18942335043420044,0.0010253893707618338
21,25.0,1.0152829319254482,0.00020328994907364294,11.282,-0.23705443742053056,0.002260382872643787
22,31.5,1.0132136987024514,0.00020270028999229544,11.421,-0.29970029895175143,0.002182643809083923
23,40.0,1.0088987808021046,0.0002017872460577206,23.245,-0.37983398174343996,0.004165706109144657
24,46.69999999999999,1.0051867468059186,0.00020107143031117072,58.593,-0.4433174233378816,0.003906147842665835
25,50.0,1.0028981243594275,0.00020077569545368118,58.821999999999996,-0.47484497400720205,0.0037602394885781916
26,53.3,1.000601743112231,0.0002002359480013753,59.13,-0.5062978352190877,0.002644953084674729
27,63.0,0.9939960754575135,0.0003433233874918869,115.693,-0.5976920693134335,0.003741131520708852
28,80.0,0.9773777380087626,0.00027036574227145134,119.4,-0.7592764913945356,0.0024043138010079977
29,100.0,0.9528352042606454,0.0004994821298889643,123.39,-0.9500202253675178,0.002734689290607578
30,125.0,0.9162484063848727,0.0002771324586653998,125.48299999999999,-1.1867822377008999,0.0014788982495225207
31,160.0,0.8537514465359,0.00022135090791026077,127.03299999999999,-1.518928071321552,0.0011580848682933992
32,200.0,0.7677683715052241,0.00016875546043547816,126.70299999999999,-1.898866996773358,0.001082733353053162
33,250.0,0.6438774793166253,0.00014749453550997794,126.35600000000001,-2.3734412570948606,0.0010339025554214076
34,10.0,1.0190902428873096,0.00020396441585431903,2.7489999999999997,-0.09457408564237291,0.0006061512169632796
35,12.5,1.0179009212262682,0.0002042268815000197,2.7569999999999997,-0.11839861638860683,0.002355045102628696
36,16.0,1.017924191795018,0.0002037092079467009,5.577999999999999,-0.1518719039304539,0.0014223495990950176
37,20.0,1.0169855177937719,0.00020399030953766864,5.571000000000001,-0.18993584216535098,0.003347282342939805
38,25.0,1.0150833321241537,0.000203207105014836,11.264000000000001,-0.23667907143491762,0.0024688781863899277
39,31.5,1.0127774936487919,0.0002026000748626972,11.440999999999999,-0.29866163742520513,0.0022432405498889803
40,40.0,1.0089154353327263,0.0002018000492883795,23.248,-0.38028735149349036,0.004746290354727185
41,46.69999999999999,1.00503150015044,0.00020116095173359434,58.57899999999999,-0.44410974058089137,0.005699761366956582
42,50.0,1.0028562701640116,0.00020065815009565803,58.766000000000005,-0.47493670127730336,0.0030354221553607493
43,53.3,1.0003024789936021,0.0002006011927129752,59.176,-0.5071341501989908,0.0031745188834540056
44,63.0,0.9943510165121016,0.000634917372490981,115.447,-0.5970872484004404,0.002818278593528139
45,80.0,0.9772793968157187,0.0002501956485401728,119.12,-0.7594058170914373,0.0023921030367905854
46,100.0,0.953725065465031,0.00024973108064513705,122.777,-0.9492485692001633,0.0016109700080862764
47,125.0,0.9163709896100748,0.0001898179981736706,124.848,-1.1867116141860787,0.0009284140355725373
48,160.0,0.8538077943626698,0.00024851090405696353,126.726,-1.5189066489589005,0.0015718053782884866
49,200.0,0.7682038669211567,0.00018344787185760694,126.59100000000001,-1.8985924359102095,0.0008028187232205392
50,250.0,0.6437934057140996,0.00013503775301056334,126.24600000000001,-2.373487283958621,0.0006106134237494784
51,10.0,1.019261585620192,0.00020424117554751364,2.7489999999999997,-0.09461324563768292,0.00099779296256562
52,12.5,1.0185163104067192,0.00020376893956525796,2.755,-0.11849260819239915,0.001202470642537887
53,16.0,1.018575216675492,0.00020479058896055572,5.567,-0.1523012037381779,0.0023689868651375202
54,20.0,1.0167676174146643,0.00020350459063090263,5.593999999999999,-0.1899024804647318,0.002188540514912783
