,freqs,mag,maguncer,examp,phase,phaseuncer
0,80.0,0.9669062247095761,0.009727916290604793,10.011000000000001,2.3815099148909504,0.0017453435479546774
1,250.0,0.6418909181896155,0.00878595021575265,126.5,0.7660739183059864,0.0020041220608977184
2,10.0,1.0153836965596164,0.0005407581708070089,2.7543,3.046636622156523,0.0017480002891578858
3,12.5,1.015385211322338,0.00022879773883187278,2.7319,3.022883352996307,0.0017464283493882067
4,16.0,1.0143316955107966,0.0014106363640001196,5.5397,2.989563571463578,0.0017483903970844982
5,20.0,1.0134480561586292,0.0011484894743178712,5.528,2.9516241320703305,0.0017533935592820103
6,25.0,1.0112341308401485,0.0035198435388905055,11.267999999999999,2.904081167953134,0.001751025265911239
7,31.5,1.0087276564859764,0.0034955892282854746,11.472999999999999,2.842330941826935,0.001759369067032876
8,40.0,1.0047804934311684,0.0068085332633177975,23.27,2.7615399323479286,0.0017809001873922807
9,46.7,1.0009673051696482,0.015090238830776965,58.718999999999994,2.6979531418873046,0.0018240103517313672
10,50.0,0.9985372095683779,0.01803069041758191,59.114,2.666594142881721,0.0018002396465815573
11,53.29999999999999,0.9963361406117127,0.015824514947525223,59.348,2.6350915619121045,0.0018216870075305654
12,63.0,0.9898280337273646,0.03365291558368747,114.82,2.543871312926435,0.001967455133696716
13,80.0,0.9732280841639217,0.032114204603875554,118.87,2.381672002414154,0.002085714583425122
14,100.0,0.9495429304380916,0.033458829316893084,122.63,2.1913919871308742,0.002239691324463004
15,125.0,0.9106910126760154,0.0647230466350096,126.56,1.9530506369826586,0.0017787791625941945
16,160.0,0.8485747730093999,0.03111258003360677,127.64,1.6228130501463074,0.0018474656796472735
17,200.0,0.7660103398841962,0.021549963262688418,127.03,1.2413649406991905,0.00185474526131868
18,250.0,0.6414392552901568,0.016097973907602658,126.57,0.7660926128645347,0.0019804107566046025
19,80.0,0.9669825847243892,0.009308718953029944,10.012,2.3821403329522983,0.0017453512717255273
20,250.0,0.6418767922706174,0.01848012086412142,126.28,0.7659334383454546,0.00207473058243475
21,10.0,1.0155339722093812,0.0005253951946474429,2.7509,3.0465504494164906,0.0017479971013262328
22,12.5,1.0153956633176502,0.00024145736146243376,2.7305,3.0230077258788173,0.001746485046971042
23,16.0,1.0144565069261835,0.0011073897506111104,5.5311,2.989560540279731,0.001748351132725733
24,20.0,1.0131340397795021,0.0013175173390283716,5.5322,2.95162330531198,0.0017531153562983881
25,25.0,1.0112461261170684,0.0035275612108635127,11.262,2.9041195543734126,0.001750520052398844
26,31.5,1.008725229116894,0.003363575836429851,11.482000000000001,2.8424141227095805,0.001760625744233251
27,40.0,1.0047930002217318,0.0061375528780794695,23.25,2.761642372840547,0.0017829570089090692
28,46.7,1.0011759095958848,0.014075636078839689,58.641999999999996,2.6975799961323235,0.001823422878822669
29,50.0,0.9985526721972968,0.01844416273265015,59.056000000000004,2.6664125404157275,0.0017904068368573272
30,53.29999999999999,0.9963935660339197,0.01592088614036167,59.332,2.6351783705762415,0.0018075447909852022
31,63.0,0.9892958138966406,0.03128926761940987,115.48,2.5438641707490417,0.0019694383129641125
32,80.0,0.9722786789466189,0.04068996536663817,119.47,2.3810707925806778,0.0020111749360342763
33,100.0,0.9499801527442931,0.049662980172669305,122.43,2.191495221990379,0.0022369839549378832
34,125.0,0.9123467436809171,0.03421881133539182,125.35,1.9531920350748695,0.0017828591160643874
35,160.0,0.8492580084547263,0.020300642534540687,126.89,1.622963969152025,0.0018426866942814722
36,200.0,0.7659595570328741,0.01204096083491062,126.89,1.2413076691320644,0.0018957539114991195
37,250.0,0.6417598675239408,0.010396344440424376,126.62,0.7659998080026318,0.0020690548790047534
38,80.0,0.9669766562502958,0.009776814289650293,10.012,2.38173867464875,0.0017453444022764817
39,250.0,0.6420271618832658,0.006348621111747665,126.93,0.7663150997919603,0.001971508331480549
40,10.0,1.015288097724355,0.0006213043843056159,2.7517,3.046511668620024,0.001747745431503258
41,12.5,1.015642700346266,0.00020054962295747516,2.7303,3.022971107437841,0.0017463924232744058
42,16.0,1.0146280004963926,0.0009757759555055538,5.5324,2.9895713493424996,0.001748586463774557
43,20.0,1.0133671405165114,0.001188767742155698,5.5248,2.9515965165259317,0.0017526847795615514
44,25.0,1.0112978212392139,0.0037366054195075884,11.262,2.903976829931141,0.0017507021898741574
45,31.5,1.008781039447138,0.0034695720336882117,11.468,2.842333810433252,0.0017590770079239009
46,40.0,1.0048864218028175,0.00608133524147388,23.28,2.7616306061605647,0.0017845758844027867
47,46.70000000000001,1.0011598160984585,0.01361618127330755,58.746,2.6977616187040434,0.0018176150536499851
48,50.0,0.9986871883934217,0.01622149249238937,59.114,2.6667292968429552,0.001803636650288505
49,53.29999999999999,0.9964506042265242,0.014560963995979765,59.372,2.635131491524455,0.0018134202757078524
50,63.0,0.9894440883752855,0.02343438785350216,115.52,2.5438410730316594,0.0019415133313761832
51,80.0,0.9733791298839912,0.018137263287598064,119.31,2.3814071437283912,0.002024766349330449
52,100.0,0.9497838221849013,0.012891798331288036,123.13,2.191375363058695,0.002175921505790136
53,125.0,0.9131157553066346,0.018726502920395648,125.44,1.9530761233534302,0.0017841476661492944
54,160.0,0.8496868337850583,0.009553249748609523,127.08,1.6227036051457304,0.0018405443877030877
55,200.0,0.7662368322071245,0.005170308599951943,127.09,1.241270115987714,0.0018822794751720765
56,250.0,0.6422127882639376,0.006585175459601315,126.52,0.765993459394734,0.002029185159356169
57,80.0,0.9682961291508023,0.007581583802459464,10.008,2.3820224496288747,0.0017453486657121329
