,freqs,mag,maguncer,examp,phase,phaseuncer
0,80.0,0.9735563789841116,4.685698876830602e-05,10.011000000000001,2.381931530407947,0.001745330709494668
1,250.0,0.6429901390328008,0.0032574833362449696,126.5,0.7661792332367465,0.0018849274303315575
2,10.0,1.0162213537390432,0.00023854434024326755,2.7543,3.0466932600266206,0.0017478370743749974
3,12.5,1.0158711163202745,0.0001689863442733864,2.7319,3.022906438639118,0.0017463075099532104
4,16.0,1.0153670477804584,0.0005227083297903211,5.5397,2.9895701356318254,0.001748010198913943
5,20.0,1.0143262490202638,0.00029647356204100467,5.528,2.951630525939895,0.0017525132607318194
6,25.0,1.0127018740441285,0.000520996307125529,11.267999999999999,2.9041024568215197,0.0017502383126304724
7,31.5,1.0101496754432797,0.0004270017712613287,11.472999999999999,2.8423504468364227,0.0017572704812418023
8,40.0,1.006137424819669,0.0009564723224852403,23.27,2.7615368426017293,0.0017754590696019677
9,46.7,1.0022694259122478,0.002074103754040405,58.718999999999994,2.6977910562748657,0.0018108573360852336
10,50.0,1.0001122862336187,0.0017047569952140062,59.114,2.6663629927699497,0.001789383220780708
11,53.29999999999999,0.9977640425206238,0.0012806191017297039,59.348,2.6348975494356575,0.0018077853605311647
12,63.0,0.9907965332868398,0.02231563627804288,114.82,2.5427260751526637,0.0019011130753380098
13,80.0,0.9741985915841521,0.023573483068836824,118.87,2.3812810748435944,0.0020217357609682383
14,100.0,0.9503908327490327,0.027834942379301994,122.63,2.191222131517778,0.0021519638105716417
15,125.0,0.9137970785948555,0.05244895868986872,126.56,1.953061499543433,0.0017639999069465364
16,160.0,0.8506231423193241,0.02070479249961012,127.64,1.6228393677647457,0.0018061386997538975
17,200.0,0.7672541962297393,0.01842799494629617,127.03,1.2413284679978318,0.0018017260132255951
18,250.0,0.6426971620776223,0.012707148386973633,126.57,0.7660881091973266,0.001869531675054525
19,80.0,0.9733656244390366,5.466214029471704e-05,10.012,2.3816870713622205,0.0017453305708393246
20,250.0,0.64270910172971,0.01670936098503313,126.28,0.7660505138961693,0.001935033546255392
21,10.0,1.0163640075654876,0.00017067114256481415,2.7509,3.046590523683011,0.0017478276332381242
22,12.5,1.0159591548551805,0.00013780352351842442,2.7305,3.0230353795720237,0.0017463583490764916
23,16.0,1.015297395995932,0.0003599023221197232,5.5311,2.989570840545717,0.0017480192806455068
24,20.0,1.014196472972832,0.0004540087829782893,5.5322,2.9516222640299716,0.00175224893093363
25,25.0,1.0127067492799104,0.0006669295377096813,11.262,2.9041575123261074,0.0017497593785830217
26,31.5,1.0100921300333692,0.0005945378013249918,11.482000000000001,2.8424049714011317,0.0017583632242452161
27,40.0,1.0060560764449806,0.0005808398114126995,23.25,2.7616430045088354,0.0017773220951401143
28,46.7,1.0023143475754972,0.0026593029416489026,58.641999999999996,2.6975877565092725,0.001812070363398149
29,50.0,1.0000866132136672,0.001608519433545946,59.056000000000004,2.6664204839883663,0.0017822937173905806
30,53.29999999999998,0.9977902146524742,0.000995753190583869,59.332,2.635081103007274,0.0017954894377690354
31,63.0,0.9906097357395701,0.013476264470689099,115.48,2.542925037052554,0.0019110523564624766
32,80.0,0.9734840569350312,0.0321197584191782,119.47,2.3809728713291936,0.0019607969625247052
33,100.0,0.950613741061378,0.0462112415943152,122.43,2.191350146092564,0.002148812063822806
34,125.0,0.9142155865276351,0.018913306701596733,125.35,1.9531739982187608,0.0017673183098079145
35,160.0,0.8504698605141532,0.013658277679810935,126.89,1.6228453292628722,0.0018021640704631112
36,200.0,0.7669487697009448,0.008106637784365309,126.89,1.2412998616887219,0.0018276753736017586
37,250.0,0.6428850231928976,0.0058682486105534086,126.62,0.7660200580842949,0.0019283828062778337
38,80.0,0.9737958802952548,3.1404824923981215e-05,10.012,2.3818712486894906,0.001745329917655721
39,250.0,0.6431292188747043,0.0028769907897865828,126.93,0.7661588610879965,0.0018667138910548433
40,10.0,1.0161909537774676,0.0001552942605317296,2.7517,3.0465276248347823,0.0017475919137237617
41,12.5,1.0160463379392384,0.00016670061225974192,2.7303,3.022985086862618,0.0017462803171461963
42,16.0,1.0154307515609102,0.00011701632996050806,5.5324,2.9895862108548146,0.0017482680320804352
43,20.0,1.014339996138282,0.00018856106751450043,5.5248,2.951604762534855,0.001751867599343787
44,25.0,1.0128357245325093,0.0004842346085038948,11.262,2.904014226709058,0.0017499410787445192
45,31.5,1.0102043288334948,0.00040829272771013265,11.468,2.8423537148101508,0.0017572227006706252
46,40.0,1.0061306951167732,0.0008817719114158398,23.28,2.7616100931387604,0.001778762646891677
47,46.7,1.0023660645932255,0.0022640535508296005,58.746,2.6976053174553307,0.0018050355690311722
48,50.0,1.000148652067937,0.0020364179047881025,59.114,2.6664841457288317,0.001792407947231067
49,53.29999999999999,0.99780337349223,0.0010913804027706082,59.372,2.634981520447364,0.0018004914436390773
50,63.0,0.9904836713902518,0.007050504833710217,115.52,2.5429488863611063,0.0018883879248000831
51,80.0,0.9743548621147287,0.006145802397787873,119.31,2.381339730597239,0.0019752354605081027
52,100.0,0.9505564299428614,0.0055309864727903935,123.13,2.1913819313042864,0.002098522978013664
53,125.0,0.9144739659546575,0.009188897967725594,125.44,1.9531063220931093,0.0017687940104759864
54,160.0,0.8507145617406374,0.004675744984742638,127.08,1.6227398168481688,0.0018016262289558501
55,200.0,0.7669457456741104,0.0031225934060664503,127.09,1.2413221679376072,0.001821376238134716
56,250.0,0.6429477724141622,0.004951893388906808,126.52,0.7660580046825676,0.0019028683986410892
57,80.0,0.9737263620017947,3.145233218990204e-05,10.008,2.3819635941905664,0.001745330529556343
58,250.0,0.6429774640043021,0.006119765120626092,126.41,0.7661483608811358,0.0019115571363552705
59,10.0,1.016259552041373,0.00017989954555134037,2.755,3.046685275767108,0.0017478551946855153
60,12.5,1.0159314972075326,0.00022675589752356912,2.7312,3.0228659483025493,0.0017463281942502306
61,16.0,1.015342146236098,0.000414494622850494,5.5391,2.989526453174472,0.0017480984797392015
62,20.0,1.0142612333454732,0.0002924475933654678,5.5372,2.951590479430755,0.0017523824416186419
63,25.0,1.0127730720595653,0.0008419136885587195,11.28,2.904053164389273,0.0017508047902781885
64,31.5,1.010222482609061,0.0003806362296722607,11.472999999999999,2.8423749027339484,0.0017571704044748746
65,40.0,1.0060952883342156,0.0006566096450480598,23.276999999999997,2.7615562962756672,0.0017795310552146375
66,46.70000000000001,1.002240272781963,0.003777953497454365,58.824,2.6979921815068133,0.0018229792423882893
67,50.0,1.0001184716791154,0.002270305180750261,59.04,2.666202816400917,0.0017811695873987097
68,53.29999999999998,0.9977628840189934,0.0010911532719081684,59.363,2.6351263986014413,0.001797228825207283
69,63.0,0.9907565438596121,0.00986877545153281,115.34,2.543250440937286,0.001890322126184124
70,80.0,0.9743020785691057,0.007448125268295025,119.29,2.3812187869350696,0.001967409935169269
71,100.0,0.9505780772076764,0.011707865733929635,123.0,2.1911845366945872,0.002135767494468389
72,125.0,0.9142831442477314,0.0057832194856046884,125.35,1.9531740620238744,0.0017643456259564315
73,160.0,0.8506382187676866,0.007097868784121532,127.04,1.6227562871531074,0.0018048205733508893
74,200.0,0.7669038539519523,0.008037694615762184,127.03,1.2412331717190987,0.00181689675999334
