,Frequencys,AmplitudeCoefficent,AmplitudeCoefficentUncer,Phase,PhaseUncer,N
0,100.0,1.0070177749414808,7.18993393224661e-05,-0.0001842710504154124,2.778937354122715e-05,20.0
1,130.0,1.0070104689811186,6.595807140601492e-05,-0.00024498881812910626,4.9298878774121256e-05,20.0
2,160.0,1.007008065148873,8.437533226100547e-05,-0.00030640095378236507,4.931492956302203e-05,20.0
3,200.0,1.0070087491145034,8.865146848504006e-05,-0.00037783116646549413,6.663575916080308e-05,20.0
4,250.0,1.006995782370043,7.849859810347425e-05,-0.00047114005230438087,8.398456442246882e-05,20.0
5,320.0,1.0069891848278858,7.81374632981515e-05,-0.0006212692031591153,0.00010751892294262251,20.0
6,400.0,1.0069805860825787,8.521245088149281e-05,-0.0007433415782774045,0.0001221137350548058,20.0
7,500.0,1.0069632799280952,6.91749857166352e-05,-0.0009705890752748721,0.0001850567444566431,20.0
8,630.0,1.0069404192506137,8.290802977169674e-05,-0.0011512933151200278,0.00012887007218952682,20.0
9,790.0,1.0069118544753954,9.282432465707027e-05,-0.001527188635389018,0.0002861348031037589,20.0
10,1000.0,1.0068581084170862,9.171257967793896e-05,-0.0019012612703218697,0.0003530086874818818,20.0
11,1300.0,1.0067493118155935,8.506957306005765e-05,-0.002428097615445562,0.0002488038513094176,20.0
12,1600.0,1.0066236088932923,6.916561898188837e-05,-0.003095107441591823,0.00046283079097503673,20.0
13,2000.0,1.0074770739662766,7.466664817784123e-05,-0.003956460221002536,0.0006425788730057356,20.0
14,2500.0,1.007210213666472,7.233218900239105e-05,-0.0049988247100496205,0.0005855967756769687,20.0
15,3200.0,1.0068233434422607,6.846061055169306e-05,-0.006678398133600887,0.0011716954629179997,20.0
16,4000.0,1.0076271793482647,7.496172232375843e-05,-0.00873140796199624,0.0011140498721753647,20.0
17,5000.0,1.0071175658860205,8.496505749017452e-05,-0.011214098101201256,0.001129730152555809,20.0
18,6300.0,1.0065313492778052,8.57780634746693e-05,-0.014649300236824602,0.0020815018809675697,20.0
19,7900.0,1.007142974382931,9.670045616236274e-05,-0.018885538309092766,0.002162218251884705,20.0
20,10000.0,1.0076155214219646,0.00014365338772183236,-0.025018253563634497,0.00243900135030578,20.0
21,13000.0,1.0066848772168853,0.00010757075213313795,-0.03346462782563463,0.0033497980947312404,20.0
22,16000.0,1.0071201911990453,9.838672782810676e-05,-0.04239698755871771,0.00516045937302358,20.0
23,20000.0,1.007542672682983,7.788380745330459e-05,-0.054078429644454994,0.003916708931352109,20.0
24,25000.0,1.0068623059309594,8.346369297958708e-05,-0.0677961619699576,0.007505133579218326,20.0
25,32000.0,1.0075236721136185,8.780191748977387e-05,-0.08942778728459178,0.010816379122913873,20.0
26,40000.0,1.0071064657838817,7.827844577096043e-05,-0.11057957209877264,0.011006494243763558,20.0
27,50000.0,1.0070008638040184,8.630653967268233e-05,-0.13899138035936473,0.013417882885403885,20.0
28,63000.0,1.008173746684868,0.00011979482833561424,-0.18435034573737147,0.022343842064420607,20.0
29,79000.0,1.006814448316062,0.00011645529898996328,-0.22633963008227878,0.018794106367173557,20.0
30,100000.0,1.006971552492486,0.00010258966041078967,-0.285448105477919,0.03378306050137689,20.0
31,130000.0,1.0112592751546272,0.00034862338045177577,-0.37176580093327394,0.035557611100394196,20.0
32,160000.0,1.0089390768187414,0.00025333970220604103,-0.454010029262874,0.031387812866654936,20.0
33,200000.0,1.004470454428742,0.00032975606182674176,-0.5711179101997155,0.04110012800740923,20.0
34,250000.0,1.003847159133741,0.0006337912031896044,-0.7255751489198039,0.07045613478780276,20.0
35,320000.0,1.0038146899045572,0.0007565252410761306,-0.9073545347672456,0.04700129026256398,20.0
36,400000.0,1.0031034869216513,0.003003867003095254,-1.14551998323519,0.08517800714539907,20.0
37,500000.0,1.0020472748770046,0.0023041607365911695,-1.4314967146038766,0.10892184940573489,20.0
38,630000.0,1.0020260361956466,0.0021661395435836265,-1.7860887637464107,0.11993536967273377,20.0
39,790000.0,0.9991181168356663,0.0037938720824117157,-2.260504282880632,0.156486823355809,20.0
40,1000000.0,0.9928765701171072,0.02510908717934102,-2.855384625169669,0.18457660626337102,20.0
